port,product,source,value
Dunkerque,Fruits secs et noix,france,19144.9
Dunkerque,Fruits secs et noix,foreign,28147.0
Dunkerque,Beurre,france,443.0
Dunkerque,Beurre,foreign,48838.0
Dunkerque,"Brai, goudron et résines",france,14345.0001395
Dunkerque,"Brai, goudron et résines",foreign,41536.0
Dunkerque,Cacao et chocolat,france,4000.0
Dunkerque,Cacao et chocolat,foreign,6504.0
Dunkerque,Café,france,32167.5
Dunkerque,Café,foreign,4136305.0
Dunkerque,Drogues diverses,france,1227.0
Dunkerque,Drogues diverses,foreign,21382.0
Dunkerque,Poivre et piment,france,5554.5
Dunkerque,Poivre et piment,foreign,313990.0
Dunkerque,Fruits frais,france,11748.8
Dunkerque,Fruits frais,foreign,541265.0
Dunkerque,Divers mélangés,france,4327.0
Dunkerque,Divers mélangés,foreign,372336.0
Dunkerque,"Cuirs, peaux et pelleterie",france,112330.0
Dunkerque,"Cuirs, peaux et pelleterie",foreign,438598.0
Dunkerque,Savon,france,15866.150007000002
Dunkerque,Savon,foreign,0
Dunkerque,Sucre,france,3755.5
Dunkerque,Sucre,foreign,3683421.0
Dunkerque,Vins divers,france,2182.6
Dunkerque,Vins divers,foreign,164861.0
Dunkerque,Cendres diverses,france,3215.0
Dunkerque,Cendres diverses,foreign,73980.0
Dunkerque,"Gravelée, potasse et védasse",france,15727.5
Dunkerque,"Gravelée, potasse et védasse",foreign,723273.0
Dunkerque,Chanvre,france,144.0
Dunkerque,Chanvre,foreign,162862.0
Dunkerque,Colles diverses,france,2665.0
Dunkerque,Colles diverses,foreign,10118.0
Dunkerque,Eaux-de-vie et liqueurs,france,92286.10001000001
Dunkerque,Eaux-de-vie et liqueurs,foreign,2322188.0
Dunkerque,Graines diverses et mélangées,france,450.0
Dunkerque,Graines diverses et mélangées,foreign,5495.0
Dunkerque,Graines grasses,france,42060.0
Dunkerque,Graines grasses,foreign,93843.0
Dunkerque,Huile de poisson,france,9917.0
Dunkerque,Huile de poisson,foreign,16477.0
Dunkerque,Plomb,france,6877.0
