port,port_en,latitude,longitude,nb_pointcalls,tonnage,category
Lisbonne [mais: Angleterre],Lisbon [but : England],53,-2,1016,12192,fausse_destination
Londres,London,51.516667,-0.1,80,7407,port_specifie
Jersey,Jersey,49.216667,-2.116667,1,12,port_specifie
Burnham,Burnham,51.616667,0.833333,1,55,port_specifie
Guernesey,Guernesey,49.45,-2.6,2,57,port_specifie
Deal,Deal,51.216667,1.4,3,36,port_specifie
Folkestone,Folkestone,51.083333,1.183333,5,60,port_specifie
Liverpool,Liverpool,53.41164,-2.978725,4,270,port_specifie
Sunderland,Sunderland,54.911944,-1.383333,57,7481,port_specifie
Newry,Newry,54.183333,-6.333333,2,255,port_specifie
Douvres,Dover,51.133333,1.3,9,146,port_specifie
Alborough,Alkborough,53.683333,-0.666667,2,250,port_specifie
Aberdeen,Aberdeen,57.133333,-2.1,2,87,port_specifie
Southwold,Southwold,52.333333,1.683333,1,130,port_specifie
Portsmouth,Portsmouth,50.766667,-1.083333,1,12,port_specifie
Harwich,Harwich,51.95,1.3,1,90,port_specifie
Yarmouth,Yarmouth,50.7,-1.5,8,445,port_specifie
Hull,Hull,53.716667,-0.333333,14,1110,port_specifie
Malden,Maldon,51.731704, 0.673440,1,90,port_specifie
Faversham,Faversham,51.316667,0.9,1,12,port_specifie
Padstow,Padstow,50.533333,-4.933333,8,256,port_specifie
Pool,Poole,53.9,-1.616667,2,300,port_specifie
Fowey,Fowey,50.333611,-4.639167,1,55,port_specifie
Newhaven,Newhaven,50.783333,0.033333,1,100,port_specifie
Glasgow,Glasgow,55.833333,-4.25,1,80,port_specifie
Shields,Shields,54.987778,-1.421389,1,140,port_specifie
Leith,Leith,55.95,-3.166667,1,130,port_specifie
Cowes,Cowes,50.766667,-1.3,1,75,port_specifie
Milford,Milford,50.725,-1.592778,1,46,port_specifie
Bristol,Bristol,51.45,-2.583333,1,40,port_specifie
Southampton,Southampton,50.9,-1.4,8,700,port_specifie
Newcastle,Newcastle,54.988056,-1.619444,4,350,port_specifie
Corck,Cork,51.898611,-8.495833,1,70,port_specifie
Kingsale,Kinsale,51.7075,-8.530556,1,50,port_specifie
Origny,Alderney,49.716667,-2.2,1,22,port_specifie
Whitby,Whitby,54.482919,-0.616879,2,150,port_specifie
