type_zone_peche,annee,value
Islande,1763,81891
Islande,1764,214218
Islande,1765,411990
Islande,1766,515301
Islande,1767,470314
Islande,1768,496928
Islande,1769,547641
Islande,1770,589933
Islande,1771,541443
Islande,1772,622111
Islande,1773,611006
Islande,1774,671071
Islande,1775,646118
Islande,1776,622967
Islande,1777,696754
Islande,1778,167406
Islande,1779,688507
Islande,1780,945439
Islande,1781,1999689
Islande,1782,1872482
Islande,1783,1078826
Islande,1784,972825
Islande,1785,1022839
Islande,1786,823937
Islande,1787,760300
Islande,1788,842976
Islande,1789,791887
Islande,1790,628498
Islande,1791,494656
Islande,1792,730078
Hitlande,1763,64269
Hitlande,1764,81549
Hitlande,1765,91178
Hitlande,1766,49516
Hitlande,1767,67666
Hitlande,1768,71727
Hitlande,1769,96073
Hitlande,1770,68194
Hitlande,1771,60004
Hitlande,1772,67587
Hitlande,1773,82719
Hitlande,1774,128887
Hitlande,1775,113354
Hitlande,1776,109851
Hitlande,1777,150270
Hitlande,1778,221595
Hitlande,1779,141966
Hitlande,1780,143234
Hitlande,1781,236127
Hitlande,1782,86881
Hitlande,1783,58109
Hitlande,1784,73642
Hitlande,1785,72902
Hitlande,1786,67316
Hitlande,1787,117006
Hitlande,1788,78326
Hitlande,1789,60367
Hitlande,1790,61502
Hitlande,1791,92339
Hitlande,1792,230417
Hareng,1763,355800
Hareng,1764,480560
Hareng,1765,361658
Hareng,1766,205002
Hareng,1767,373652
Hareng,1768,201899
Hareng,1769,179246
Hareng,1770,164453
Hareng,1771,84318
Hareng,1772,102971
Hareng,1773,123624
Hareng,1774,137142
Hareng,1775,162565
Hareng,1776,165400
Hareng,1777,195481
Hareng,1778,449158
Hareng,1779,204316
Hareng,1780,277866
Hareng,1781,317248
Hareng,1782,288269
Hareng,1783,205462
Hareng,1784,190458
Hareng,1785,179262
Hareng,1786,200955
Hareng,1787,103818
Hareng,1788,106486
Hareng,1789,115125
Hareng,1790,144756
Hareng,1791,114828
Hareng,1792,198860
Terre-Neuve,1763,
Terre-Neuve,1764,
Terre-Neuve,1765,
Terre-Neuve,1766,
Terre-Neuve,1767,
Terre-Neuve,1768,
Terre-Neuve,1769,
Terre-Neuve,1770,72563
Terre-Neuve,1771,106543
Terre-Neuve,1772,45515
Terre-Neuve,1773,43197
Terre-Neuve,1774,62664
Terre-Neuve,1775,76605
Terre-Neuve,1776,93789
Terre-Neuve,1777,98490
Terre-Neuve,1778,
Terre-Neuve,1779,
Terre-Neuve,1780,
Terre-Neuve,1781,
Terre-Neuve,1782,
Terre-Neuve,1783,
Terre-Neuve,1784,31680
Terre-Neuve,1785,143276
Terre-Neuve,1786,346964
Terre-Neuve,1787,384473
Terre-Neuve,1788,232956
Terre-Neuve,1789,211931
Terre-Neuve,1790,114353
Terre-Neuve,1791,124015
Terre-Neuve,1792,104362
Dogre Banc,1763,
Dogre Banc,1764,
Dogre Banc,1765,
Dogre Banc,1766,
Dogre Banc,1767,
Dogre Banc,1768,
Dogre Banc,1769,
Dogre Banc,1770,6636
Dogre Banc,1771,3240
Dogre Banc,1772,
Dogre Banc,1773,
Dogre Banc,1774,
Dogre Banc,1775,
Dogre Banc,1776,
Dogre Banc,1777,
Dogre Banc,1778,
Dogre Banc,1779,
Dogre Banc,1780,1604
Dogre Banc,1781,
Dogre Banc,1782,7078
Dogre Banc,1783,4362
Dogre Banc,1784,198
Dogre Banc,1785,1618
Dogre Banc,1786,
Dogre Banc,1787,
Dogre Banc,1788,
Dogre Banc,1789,
Dogre Banc,1790,
Dogre Banc,1791,900
Dogre Banc,1792,
