year_start,year_end,x,y,label_fr,label_en,color_type
1700,1750,500,264,Chambre de commerce,Chamber of Commerce,point-port
1713,,140,543,Postes de douane,Customs posts,point-kingdom
1713,,295,550,Postes de douane,Customs posts,point-kingdom
1713,,435,604,Postes de douane,Customs posts,point-kingdom
1713,,526,647,Postes de douane,Customs posts,point-kingdom
1713,,557,627,Postes de douane,Customs posts,point-kingdom
1729,1786,571,206,Pilotage,Piloting,point-kingdom
1731,,591,152,Entrepôt colonial,Colonial warehouse,point-port
1750,,571,206,Nouvelle chambre de commerce,New Chamber of Commerce,point-port
1786,,571,206,Amirauté,Admiralty,point-kingdom
1786,,337,554,Hôtel des fermes,Hotel des Fermes,point-kingdom
