id,year_start,year_end,file_head,file_map,file_legend,upper_town,lower_town
1580_1646,1580,1646,1580_1646_head.svg,1580_1646_map.svg,,Spain,Spain
1646_1652,1646,1652,1646_1652_head.svg,,,France,France
1652_1658,1652,1658,1652_1658_head.svg,1652_1658_map.svg,,Spain,Spain
1658_1662,1658,1662,1658_1662_head.svg,1658_1662_map.svg,,UK,UK
1662_,1662,,1662__head.svg,,,tax-free,tax-free
1700_,1700,,1700__head.svg,1700__map.svg,1700__legend.svg,tax-free,tax-free
1700_1713,1700,1713,1700__head.svg,1700__map.svg,1700__legend.svg,France,France
1713_,1713,,1713__head.svg,1713__map.svg,1713__legend.svg,tax-free,France
1713_1850,1713,1850,1713__head.svg,,1713__legend.svg,tax-free,France
1729_,1729,,1729__head.svg,1729__map.svg,1729__legend.svg,tax-free,France
1731_,1731,,1731__head.svg,1731__map.svg,1731__legend.svg,tax-free,France
1750_,1750,,1750__head.svg,1750__map.svg,1750__legend.svg,tax-free,France
1786_,1786,,1786__head.svg,1786__map.svg,1786__legend.svg,tax-free,France
