Années comptables,Recettes,Dépenses,Soldes comptables
1713,366599,366747,-188
1714,234502,235298,-796
1715,203798,230001,-26202
1716,122718,165888,-43169
1717,113227,160289,-47062
1718,112519,161928,-49408
1719,132082,167709,-35627
1720,196852,204278,-7426
1721,122017,127868,-5850
1722,113916,137429,-23512
1723,175305,196113,-20808
1724,148734,87251,-38516
1725,134725,177904,-43178
1726,87934,130076,-42141
1727,97785,150091,-52305
1728,99390,158641,-59251
1729,110480,163500,-53020
1730,119644,169923,-50279
1731,131350,171433,-40083
1732,137616,160790,-23174
1733,137623,128952,8671
1734,164832,161126,3755
1735,162134,150595,11538
1736,208585,182159,26426
1737,209731,159540,50190
1738,241250,198862,42388
1739,219213,190897,28316
1740,192651,178368,14273
1741,201763,281541,-79777
1742,235088,264296,-29207
1743,289118,285535,3582
1744,300550,283246,17303
1745,259047,217461,41586
1746,250106,197129,52976
1747,252647,222436,30211
1748,210075,247060,-36984
1749,255628,271737,-16108
1750,270768,212436,58332
1751,287121,279089,8032
1752,325575,253558,72016
1753,322936,281389,41547
1754,393576,314745,78830
1755,371780,386515,-14734
1756,342740,411961,-69220
1757,259749,403910,-144161
1758,392850,530248,-137397
1759,369270,541472,-172202
1760,390798,688049,-297251
1761,371110,685183,-313907
1762,364945,663966,-299020
1763,424470,663973,-239507
1764,311329,526972,-215642
1765,313787,536130,-222343
1766,442915,670972,-228056
1767,419901,652743,-232841
1768,439685,442067,-2381
1769,435865,413065,22799
1770,402230,412639,-10408
1771,450085,462179,-12094
1772,365758,369275,-3517
1773,428576,451817,-23241
1774,300110,408555,-108445
1775,311297,396807,-85509
1776,301072,394533,-93461
1777,322417,406902,-84485
1778,324610,429295,-104685
1779,345558,472034,-126475
1780,458723,510741,-52018
1781,500603,576618,-76014
1782,592951,505041,87909
1783,840399,777471,62927
1784,712161,721902,-9740
1785,601812,638566,-36754
1786,518485,454426,64058
1787,638598,586684,51914
1788,615254,558724,56529
1789,791571,914743,-123201
1790,793146,862085,-68939
1791,316452,446288,-129835
1792,334513,388611,-47592
1793,2862794,1456679,1406115
