destination,1781,1782,1785,1786,1787,1788,1789,1790,1791,Facade,for_geocoding,lat,lon
Leigh,2,,,,,,,,,Est,Leigh (United Kingdom),53.4960455,-2.5171495
Leith,,,,2,,,1,1,,Est,Leith (United Kingdom),55.9725499,-3.1709492
Londres,1,1,5,5,30,29,27,16,10,Est,Londres (United Kingdom),51.5073219,-0.1276474
Lydd,6,3,1,1,,3,7,4,2,Sud,Lydd (United Kingdom),50.950968,0.9065381
Maldon,,1,4,11,48,69,55,62,,Est,Maldon (United Kingdom),51.731198,0.6791849
Margate,77,71,30,42,16,14,21,9,8,Est,Margate (United Kingdom),51.3878174,1.3819699
Mersey,,,,4,4,,,,,Ouest,Mersey (United Kingdom),53.3778654,-2.6365361
Milton,,,,3,5,,,4,2,Sud,Milton (United Kingdom),55.9370594,-4.519012
Newcastle,,,,,,1,2,,,Est,Newcastle (United Kingdom),54.2118323,-5.8897216
Newhaven,,,,,,2,,,,Sud,Newhaven (United Kingdom),50.7945315,0.0483875
Non Localisés,,,,4,40,13,8,5,,Nonlocalise,Non Localisés (United Kingdom),,
Norfolk,,,6,,,,,,,Est,Norfolk (United Kingdom),52.666667,1
Norwich,1,,,,,,,,,Est,Norwich (United Kingdom),52.6285576,1.2923954
Orford,,1,,,3,4,,,,Est,Orford (United Kingdom),52.0949765,1.5344399
Pastow,,,1,1,,,,,,Ouest,Pastow (United Kingdom),50.5385371,-4.9566557
Pegwell,3,4,4,7,7,13,12,3,,Sud,Pegwell (United Kingdom),51.3274066,1.3921713
Penzance,,,,,,2,,,,Sud,Penzance (United Kingdom),50.1194794,-5.5352463
Plymouth,,,,,1,,,,1,Sud,Plymouth (United Kingdom),50.3712659,-4.1425658
Poole,,,,,,1,,,,Sud,Poole (United Kingdom),50.7179472,-1.981521
Portsmouth,,,1 ?,1,2,,1,1,,Sud,Portsmouth (United Kingdom),50.8036831,-1.075614
Ramsay (I de Man),,,,,,,,1,,Ouest,Ramsay (I de Man) (United Kingdom),54.2277581,-4.9017628
Ramsgate,,,,1,6,,,,,Sud,Ramsgate (United Kingdom),51.3334726,1.4196476
Reculver,,3,,7,6,,,3,4,Est,Reculver (United Kingdom),51.3787239,1.1978418
Robin Hood Bay,,1,,,,,,,,Est,Robin Hood Bay (United Kingdom),54.431002,-0.5380133
Rochester,1,1,,13,25,5,17,10,4,Est,Rochester (United Kingdom),51.3883811,0.504925
Rye,1,1,2,19,26,20,18,17,11,Sud,Rye (United Kingdom),50.9511871,0.7327667
