homeport_fr,homeport_en,state_category,homeport_state_fr,homeport_state_en,tonnage,nb_pointcalls
Windeweer,Windeweer,étranger,Provinces-Unies,United Provinces,80.0,1
Boulogne-sur-Mer,Boulogne-sur-Mer,France,France,France,587.0,17
Liverpool,Liverpool,Grande Bretagne,Grande-Bretagne,Great Britain,110.0,2
Farsund,Farsund,étranger,Danemark,Denmark,135.0,4
Saint-Briac,Saint-Briac,France,France,France,494.0,5
Bourcefranc,Bourcefranc,France,France,France,226.0,4
Norderney,Norderney,étranger,Prusse,Prussia,56.0,1
Borrowstounness,Borrowstounness,Grande Bretagne,Grande-Bretagne,Great Britain,315.0,2
Ipswich,Ipswich,Grande Bretagne,Grande-Bretagne,Great Britain,137.0,7
Poole,Poole,Grande Bretagne,Grande-Bretagne,Great Britain,632.0,8
Grou,Grou,étranger,Provinces-Unies,United Provinces,210.0,1
Flessingue,Vlissingen,étranger,Provinces-Unies,United Provinces,350.0,7
Fécamp,Fécamp,France,France,France,537.0,8
Barking,Barking,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Newburyport,Newburyport,étranger,Etats-Unis d'Amérique,United States,170.0,1
Saint-Savinien,Saint-Savinien,France,France,France,1309.0,12
Faversham,Faversham,Grande Bretagne,Grande-Bretagne,Great Britain,600.0,50
Greenwich,Greenwich,Grande Bretagne,Grande-Bretagne,Great Britain,72.0,6
Lyme Regis,Lyme Regis,Grande Bretagne,Grande-Bretagne,Great Britain,77.0,2
pas identifié,To be identified,étranger,Indéterminé,Undefined,542.0,12
île d'Arz,île d'Arz,France,France,France,46.0,1
La Flotte-en-Ré,La Flotte-en-Ré,France,France,France,42.0,1
Roque de Thau,Roque de Thau,France,France,France,624.0,9
Dort,Dort,étranger,Provinces-Unies,United Provinces,772.0,8
Lee-on-Solent,Lee-on-the-Solent,Grande Bretagne,Grande-Bretagne,Great Britain,420.0,35
Marennes,Marennes,France,France,France,405.0,7
Ars-en-Ré,Ars-en-Ré,France,France,France,353.0,4
Soubise,Soubise,France,France,France,91.0,1
Londonderry,Londonderry,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Perth,Perth,Grande Bretagne,Grande-Bretagne,Great Britain,70.0,1
"Portsmouth, VA,","Portsmouth, VA,",étranger,Etats-Unis d'Amérique,United States,540.0,2
Tonnay-Charente,Tonnay-Charente,France,France,France,776.0,9
