partner,sum_tonnage,sum_tonnage_without_lest,sum_exports,price_per_barrel,price_per_barrel_without_lest
Danemark,33049.0,17384.0,6334500.0,191.66994462767406,364.3867924528302
Angleterre,87563.0,48046.0,34200500.0,390.58163836323564,711.828247929068
Russie,14848.0,14521.0,6630000.0,446.5247844827586,456.5801253357207
Espagne,59250.0,50310.0,32838264.66848842,554.2323150799733,652.7184390476729
Hollande,78214.0,73918.0,33571500.0,429.2262254839287,454.1721908060283
Portugal,14007.0,12727.0,3935200.0,280.94524166488185,309.20091144810243
Villes hanséatiques,68277.0,66507.0,60194700.0,881.624851707017,905.0881862059633
Suède,14161.0,11428.0,5053700.0,356.87451451168704,442.22086104305214
États-Unis d'Amérique,22271.0,16362.0,2050600.0,92.07489560414889,125.32697714215865
Allemagne,28703.0,27494.0,22464400.0,782.6498972232868,817.0655415727068
Prusse,20644.0,17365.0,9008500.0,436.3737647742686,518.7733947595739
Royaume de Sardaigne,18869.0,12642.0,9191349.435473166,487.11375459606586,727.0486818124638
Gênes,38779.0,36030.0,6286100.0,162.10062147038346,174.46849847349432
"Milanais, Toscane et Lucques",10210.0,9653.0,10847100.0,1062.399608227228,1123.7024759142237
États ecclésiastiques,3531.0,3400.0,3421400.0,968.9606343811952,1006.2941176470588
Naples,21383.0,20253.0,5355600.0,250.4606463078146,264.4348985335506
Venise,1161.0,1161.0,894700.0,770.6287683031869,770.6287683031869
Empire Ottoman et Barbarie,45285.0,43525.0,25608100.0,565.4874682565971,588.3538196438828
