destination,tonnage,destination_en
Divers,6058.0,Diverse
Nord,13570.0,North
Espagne,702.0,Spain
États-Unis d'Amérique,3038.0,United States of America
Portugal,1351.0,Portugal
Angleterre,12546.0,England
Hollande,6775.0,Holland
Flandre et autres états de l'Empereur,1378.0,Flanders and other states of the Emperor
Outre-mers,4784.0,Overseas
