port de départ,total des trajets anglais,trajets anglais smoggleurs,% de trajets anglais smoggleurs,total tonnage,tonnage smoggleur,% de tonnage smoggleurs,total des destinations,destinations smoggleurs,% de destination smoggleurs,smoggleurs avec produits de contrebande,% de smoggleurs avec produits de contrebande
dunkerque,1275,1043,81.80392156862744,106190,12516,11.786420566908372,156,13,3.9309683604985617,41,0
calais,820,809,98.65853658536585,28202,17825,63.20473725267711,59,20,0,0,0
boulogne,1473,1472,99.93211133740665,23430,9946,42.4498506188647,35,2,0,0,0
roscoff,157,121,77.07006369426752,5555,1006,18.10981098109811,55,23,100.0,121,0
lorient,122,58,47.540983606557376,71494,2008,2.8086272973955855,142,3,94.82758620689656,55,0
bordeaux,174,24,13.793103448275861,264083,925,0.35026866553318464,206,2,100.0,24,0
