partner,partner_en,value
Espagne,Spain,40161200.0
Hollande,Holland,33571500.0
Nord,North,87221400.0
Allemagne,Germany,22464400.0
Suisse,Switzerland,20531400.0
États-Unis d'Amérique,United States of America,2050600.0
Italie,Italy,46071530.0
Levant et Barbarie,Levant and Barbary states,25608100.0
Flandre et autres états de l'Empereur,Flanders and other estates of the Emperor,33919600.0
Portugal,Portugal,3935200.0
Angleterre,England,34200500.0
