value,product_type,importsexports,partner_type,port,aggregate_type
42931940.0,,Imports,bureau des fermes de Dunkerque,,
3734878.34893314,Exports connus de Dunkerque,Exports,bureau des fermes de Dunkerque,,
3047616,Estimation du smogglage,Exports,bureau des fermes de Dunkerque,,
5972028.0,Exports de produits coloniaux,Exports,bureau des fermes de Dunkerque,,
1641171.1915335683,Estimation exports hors col.,Exports,bureau des fermes de Dunkerque,,
