partenaire,partenaire_en,tonnage,estimate,estimate_without_lest,price_per_barrel,price_per_barrel_without_lest,exports_toflit18,imports_toflit18
Hollande,Holland,5608.0,2407100.6725138724,2546997.646040207,429.2262254839287,454.1721908060283,0,7196299.0
Flandre et autres états de l'Empereur,Flanders and other states of the Emperor,4146.0,3182614.855973189,3322564.7127008964,767.6350352081981,801.3904275689572,0,4022285.0
Angleterre,England,4508.0,1760742.0257414663,3208921.7416642383,390.58163836323564,711.828247929068,0,14937716.0
Portugal,Portugal,495.0,139067.8946241165,153054.4511668107,280.94524166488185,309.20091144810243,0,53067.0
Espagne,Spain,1353.0,749876.3223032039,883128.0480315014,554.2323150799733,652.7184390476729,0,1767338.0
États-Unis d'Amérique,United States of America,350.0,32226.213461452113,43864.44199975553,92.07489560414889,125.32697714215865,0,1479188.0
Nord,North,1075.0,401243.59704040975,498996.849438274,373.2498577120091,464.18311575653394,0,3877725.0
Italie,Italy,680.0,291857.42600260396,329749.4989920807,429.2020970626529,484.9257338118834,0,928167.0
