label,type,valeur
imports du bf de Dunkerque,imports,42931940.0
estimation smogglage,exports - projection,2426688
estimation des exports par projection (hyp. lest),exports - projection,3825403.763623924
estimation des exports par projection (hyp. sans lest),exports - projection,5346106.722895328
projection angleterre uniquement (hyp lest),exports - projection (détail),1725199.0966504118
projection angleterre uniquement (hyp sans lest),exports - projection (détail),3144145.371102693
toflit18 flux mirroir : dk > france,exports - tiré d'une source,3734878.34893314
toflit18 exports légitimes dk > angleterre,exports - tiré d'une source,885066.0
toflit18 exports produits coloniaux (monde...),exports - tiré d'une source,5972028.0
CUST Flandres > GB,exports - tiré d'une source,2196171.6666666665
