produit_smogglé,unité,quantité_smogglée,classification_toflit,nom_toflit,nombre_observations_avec_unité_exacte_toutes_custom_regions,nombre_observations_versAngleterre,nombre_observations_Flandre_Angleterre,fourchette_prix_toflit,années_prix,estimation_prix1_moyenne,valeur_smogglé1,estimation_prix2_moyenne,valeur_smogglé2,Notes1,Notes2,Notes3
"eau de vie, taffia, genieve",,,,,,,,,,"0,62",1069551,,,Calculé pendant Datasprint 2,,
tabac en feuilles,,,,,,,,,,"0,36",378815,,,Calculé pendant Datasprint 2,,
thé,,,,,,,,,,"0,51",17270,,,Calculé pendant Datasprint 2,,
vins,,,,,,,,,,"1,8",3550,,,Calculé pendant Datasprint 2,Par litre,
sucre brut,,,,,,,,,,"0,35",4138,,,Calculé pendant Datasprint 2,,
café,,,,,,,,,,"0,95",17718,,,Calculé pendant Datasprint 2,,
corinthes,livres poids,6858,product_simplification,raisins de corinthe/raisins secs de corinthe,9,1,0,"0,25-0,5",1789,"0,45","3086,1",,,,,
tabac en poudre,livres poids,5700,product_simplification,tabac en poudre,6,0,0,"0,5-3,75",1789,"3,4",19380,,,"Une seule observation (‘France vers Sénégal et Guinée’) avec prix à 0,5, exclue de l’estimation prix",,
tabac fabriqué,livres poids,3116,product_simplification,tabac,18,0,0,"0,32-3,3","1780, 1787-1789","2,3","7166,8","2,5",7790,Pas de tabac fabriqué dans toflit 1780s ,estimation 2 = exclusion prix non cohérents,
tabac en côtes,livres poids,500,product_simplification,tabac en cotes,1,0,0,,1789,"0,07",35,,,Saint-Malo vers les 4 villes hanseatiques,,
drogues,livres poids,1157,product_simplification,drogues,42,0,0,"0,8-3","1780, 1789","1,7","1966,9","1,6","1851,2",Une seule observation au prix de 3 lt par livre poids ,estimation 2 = prix de 3 lt exclu,
rhubarbre,livres poids,500,product_simplification,rhubarbe,17,0,0,8-12,"1780, 1788, 1789","8,9",4450,"10,4",5200,Estimation 2 = envois vers les colonies exclus,,
amidon,livres poids,2680,product_simplification,amidon,35,3,0,"0,22-0,68","1780, 1782, 1787-1789","0,33","884,4","0,4",1072,Estimation 2 = seuls envois vers l’Angleterre,,
sucre rafiné,livres poids,120,product_simplification,sucre raffiné,13,0,0,"0,8-1","17,881,789","0,96","115,2",,,,,
sucre en pain,livres poids,730,product_simplification,sucre en pain,29,2,0,"0,79-1","1780, 1784, 1788, 1789","0,89","649,7","0,9",657,Estimation 2 = seuls envois vers l’Angleterre,,
mousseline,livres poids,2147,product_simplification,"mousseline, mousseline de coton, toile de coton mousseline",16,0,0,40-60,"1780, 1788, 1789","53,7","115293,9","51,9","111429,3","Du prix 1 exclue observation au prix de 25 lt (1784, Narbonne-Espagne) ; estimation 2 = avec observation au prix de 25 ",,
mouchoirs de mousseline,livres poids,50,product_simplification,"mouchoirs de coton, mouchoirs de fil et coton",7,0,0,"7,5-9,65","1780, 1788, 1789","8,2",410,"10,65","532,5","Du prix 1 exclue observation au prix de 25 lt (1780, La Rochelle-iles francaises d’amerique) ; estimation 2 = avec observation au prix de 25",,
mouchoirs de soie,livres poids,12735,product_simplification,mouchoirs de soie,7,0,0,50,1789,50,636750,,,,,
